ID,Department,Experience_Years,Age,Gender,Salary
1,Accounts,5,28,Female,250000
2,Marketing,1,21,Male,50000
3,Accounts,3,23,Female,17000
4,Sales,2,22,Male,25000
5,HR,1,17,Male,10000
6,Admin,25,62,Male,500100
7,PR,19,54,Female,800000
8,Sales,2,21,Female,9000
9,Marketing,10,36,Female,61500
10,Admin,15,54,Female,65000
11,Admin,4,26,Female,25000
12,Marketing,6,29,Male,140050
13,Planning,14,39,Male,60000
14,Marketing,11,40,Male,220100
15,Planning,2,23,Male,7500
16,PR,4,27,Female,87000
17,PR,10,34,Female,930000
18,PR,15,54,Female,79000
19,Engineering,2,21,Male,15000
20,Accounts,10,36,Male,330000
21,Engineering,15,54,Male,657000
22,Accounts,4,26,Male,25000
23,Planning,5,29,Male,68450
24,Admin,1,21,Female,6000
25,Accounts,4,23,Female,8900
26,Marketing,3,22,Female,20000
27,Engineering,1,18,Male,3000
28,Admin,27,62,Female,10000
29,Marketing,19,54,Female,50000
30,Planning,2,21,Female,6100
31,Marketing,10,34,Male,80000
32,HR,15,54,Male,900000
33,Engineering,20,55,Female,15400
34,Planning,19,53,Female,93000
35,HR,16,49,Male,76000
